-0.458909,0.0123377,0.478872,0.762493,0.754868,0.458909,-0.0123377,-0.478872,-0.762493,-0.754868,-0.458909;-0.532057,0.0384468,0.594266,0.923095,0.899334,0.532057,-0.0384468,-0.594266,-0.923095,-0.899334,-0.532057;-0.401978,0.0498706,0.48267,0.731106,0.700285,0.401978,-0.0498706,-0.48267,-0.731106,-0.700285,-0.401978;-0.118357,0.0422455,0.186711,0.25986,0.233751,0.118357,-0.0422455,-0.186711,-0.25986,-0.233751,-0.118357;0.210473,0.018484,-0.180565,-0.310644,-0.322068,-0.210473,-0.018484,0.180565,0.310644,0.322068,0.210473;0.458909,-0.0123377,-0.478872,-0.762493,-0.754868,-0.458909,0.0123377,0.478872,0.762493,0.754868,0.458909;0.532057,-0.0384468,-0.594266,-0.923095,-0.899334,-0.532057,0.0384468,0.594266,0.923095,0.899334,0.532057;0.401978,-0.0498706,-0.48267,-0.731106,-0.700285,-0.401978,0.0498706,0.48267,0.731106,0.700285,0.401978;0.118357,-0.0422455,-0.186711,-0.25986,-0.233751,-0.118357,0.0422455,0.186711,0.25986,0.233751,0.118357;-0.210473,-0.018484,0.180565,0.310644,0.322068,0.210473,0.018484,-0.180565,-0.310644,-0.322068,-0.210473;-0.458909,0.0123377,0.478872,0.762493,0.754868,0.458909,-0.0123377,-0.478872,-0.762493,-0.754868,-0.458909
-0.477684,-0.0374921,0.417021,0.712246,0.735417,0.477684,0.0374921,-0.417021,-0.712246,-0.735417,-0.477684;-0.577728,-0.0200397,0.545303,0.902359,0.914744,0.577728,0.0200397,-0.545303,-0.902359,-0.914744,-0.577728;-0.4571,0.00506725,0.465299,0.747802,0.744671,0.4571,-0.00506725,-0.465299,-0.747802,-0.744671,-0.4571;-0.161875,0.0282387,0.207566,0.30761,0.290158,0.161875,-0.0282387,-0.207566,-0.30761,-0.290158,-0.161875;0.195181,0.0406238,-0.12945,-0.250078,-0.275185,-0.195181,-0.0406238,0.12945,0.250078,0.275185,0.195181;0.477684,0.0374921,-0.417021,-0.712246,-0.735417,-0.477684,-0.0374921,0.417021,0.712246,0.735417,0.477684;0.577728,0.0200397,-0.545303,-0.902359,-0.914744,-0.577728,-0.0200397,0.545303,0.902359,0.914744,0.577728;0.4571,-0.00506725,-0.465299,-0.747802,-0.744671,-0.4571,0.00506725,0.465299,0.747802,0.744671,0.4571;0.161875,-0.0282387,-0.207566,-0.30761,-0.290158,-0.161875,0.0282387,0.207566,0.30761,0.290158,0.161875;-0.195181,-0.0406238,0.12945,0.250078,0.275185,0.195181,0.0406238,-0.12945,-0.250078,-0.275185,-0.195181;-0.477684,-0.0374921,0.417021,0.712246,0.735417,0.477684,0.0374921,-0.417021,-0.712246,-0.735417,-0.477684
-0.489804,-0.0829701,0.355555,0.658271,0.709549,0.489804,0.0829701,-0.355555,-0.658271,-0.709549,-0.489804;-0.619079,-0.0781661,0.492604,0.875216,0.923525,0.619079,0.0781661,-0.492604,-0.875216,-0.923525,-0.619079;-0.511888,-0.0435053,0.441495,0.757858,0.784746,0.511888,0.0435053,-0.441495,-0.757858,-0.784746,-0.511888;-0.209172,0.00777305,0.221749,0.351025,0.346221,0.209172,-0.00777305,-0.221749,-0.351025,-0.346221,-0.209172;0.17344,0.0560824,-0.0826967,-0.189888,-0.224549,-0.17344,-0.0560824,0.0826967,0.189888,0.224549,0.17344;0.489804,0.0829701,-0.355555,-0.658271,-0.709549,-0.489804,-0.0829701,0.355555,0.658271,0.709549,0.489804;0.619079,0.0781661,-0.492604,-0.875216,-0.923525,-0.619079,-0.0781661,0.492604,0.875216,0.923525,0.619079;0.511888,0.0435053,-0.441495,-0.757858,-0.784746,-0.511888,-0.0435053,0.441495,0.757858,0.784746,0.511888;0.209172,-0.00777305,-0.221749,-0.351025,-0.346221,-0.209172,0.00777305,0.221749,0.351025,0.346221,0.209172;-0.17344,-0.0560824,0.0826967,0.189888,0.224549,0.17344,0.0560824,-0.0826967,-0.189888,-0.224549,-0.17344;-0.489804,-0.0829701,0.355555,0.658271,0.709549,0.489804,0.0829701,-0.355555,-0.658271,-0.709549,-0.489804
-0.495109,-0.1235,0.295282,0.601276,0.677603,0.495109,0.1235,-0.295282,-0.601276,-0.677603,-0.495109;-0.655514,-0.135126,0.436875,0.842004,0.925517,0.655514,0.135126,-0.436875,-0.842004,-0.925517,-0.655514;-0.565535,-0.095139,0.411596,0.761116,0.819915,0.565535,0.095139,-0.411596,-0.761116,-0.819915,-0.565535;-0.25954,-0.0188118,0.229102,0.389507,0.401133,0.25954,0.0188118,-0.229102,-0.389507,-0.401133,-0.25954;0.145589,0.0647009,-0.0409012,-0.13088,-0.170868,-0.145589,-0.0647009,0.0409012,0.13088,0.170868,0.145589;0.495109,0.1235,-0.295282,-0.601276,-0.677603,-0.495109,-0.1235,0.295282,0.601276,0.677603,0.495109;0.655514,0.135126,-0.436875,-0.842004,-0.925517,-0.655514,-0.135126,0.436875,0.842004,0.925517,0.655514;0.565535,0.095139,-0.411596,-0.761116,-0.819915,-0.565535,-0.095139,0.411596,0.761116,0.819915,0.565535;0.25954,0.0188118,-0.229102,-0.389507,-0.401133,-0.25954,-0.0188118,0.229102,0.389507,0.401133,0.25954;-0.145589,-0.0647009,0.0409012,0.13088,0.170868,0.145589,0.0647009,-0.0409012,-0.13088,-0.170868,-0.145589;-0.495109,-0.1235,0.295282,0.601276,0.677603,0.495109,0.1235,-0.295282,-0.601276,-0.677603,-0.495109
-0.493536,-0.158555,0.236988,0.54201,0.640003,0.493536,0.158555,-0.236988,-0.54201,-0.640003,-0.493536;-0.686504,-0.190132,0.378865,0.803148,0.920656,0.686504,0.190132,-0.378865,-0.803148,-0.920656,-0.686504;-0.617252,-0.149085,0.376028,0.75751,0.84965,0.617252,0.149085,-0.376028,-0.75751,-0.84965,-0.617252;-0.31223,-0.0510922,0.229561,0.42253,0.454106,0.31223,0.0510922,-0.229561,-0.42253,-0.454106,-0.31223;0.112053,0.0664156,-0.00459047,-0.0738431,-0.11489,-0.112053,-0.0664156,0.00459047,0.0738431,0.11489,0.112053;0.493536,0.158555,-0.236988,-0.54201,-0.640003,-0.493536,-0.158555,0.236988,0.54201,0.640003,0.493536;0.686504,0.190132,-0.378865,-0.803148,-0.920656,-0.686504,-0.190132,0.378865,0.803148,0.920656,0.686504;0.617252,0.149085,-0.376028,-0.75751,-0.84965,-0.617252,-0.149085,0.376028,0.75751,0.84965,0.617252;0.31223,0.0510922,-0.229561,-0.42253,-0.454106,-0.31223,-0.0510922,0.229561,0.42253,0.454106,0.31223;-0.112053,-0.0664156,0.00459047,0.0738431,0.11489,0.112053,0.0664156,-0.00459047,-0.0738431,-0.11489,-0.112053;-0.493536,-0.158555,0.236988,0.54201,0.640003,0.493536,0.158555,-0.236988,-0.54201,-0.640003,-0.493536
-0.485115,-0.187684,0.181436,0.481254,0.597249,0.485115,0.187684,-0.181436,-0.481254,-0.597249,-0.485115;-0.7116,-0.242421,0.319355,0.759148,0.908972,0.7116,0.242421,-0.319355,-0.759148,-0.908972,-0.7116;-0.666278,-0.204562,0.335291,0.747073,0.873499,0.666278,0.204562,-0.335291,-0.747073,-0.873499,-0.666278;-0.366461,-0.0885664,0.223157,0.449642,0.504379,0.366461,0.0885664,-0.223157,-0.449642,-0.504379,-0.366461;0.0733326,0.061258,0.025785,-0.019537,-0.0573966,-0.0733326,-0.061258,-0.025785,0.019537,0.0573966,0.0733326;0.485115,0.187684,-0.181436,-0.481254,-0.597249,-0.485115,-0.187684,0.181436,0.481254,0.597249,0.485115;0.7116,0.242421,-0.319355,-0.759148,-0.908972,-0.7116,-0.242421,0.319355,0.759148,0.908972,0.7116;0.666278,0.204562,-0.335291,-0.747073,-0.873499,-0.666278,-0.204562,0.335291,0.747073,0.873499,0.666278;0.366461,0.0885664,-0.223157,-0.449642,-0.504379,-0.366461,-0.0885664,0.223157,0.449642,0.504379,0.366461;-0.0733326,-0.061258,-0.025785,0.019537,0.0573966,0.0733326,0.061258,0.025785,-0.019537,-0.0573966,-0.0733326;-0.485115,-0.187684,0.181436,0.481254,0.597249,0.485115,0.187684,-0.181436,-0.481254,-0.597249,-0.485115
-0.469974,-0.21052,0.129346,0.419806,0.549914,0.469974,0.21052,-0.129346,-0.419806,-0.549914,-0.469974;-0.730434,-0.291273,0.259144,0.710577,0.890593,0.730434,0.291273,-0.259144,-0.710577,-0.890593,-0.730434;-0.711892,-0.26077,0.289957,0.729931,0.891096,0.711892,0.26077,-0.289957,-0.729931,-0.891096,-0.711892;-0.421432,-0.130662,0.210017,0.470477,0.55123,0.421432,0.130662,-0.210017,-0.470477,-0.55123,-0.421432;0.0300005,0.0493549,0.0498574,0.0313161,0.000813064,-0.0300005,-0.0493549,-0.0498574,-0.0313161,-0.000813064,0.0300005;0.469974,0.21052,-0.129346,-0.419806,-0.549914,-0.469974,-0.21052,0.129346,0.419806,0.549914,0.469974;0.730434,0.291273,-0.259144,-0.710577,-0.890593,-0.730434,-0.291273,0.259144,0.710577,0.890593,0.730434;0.711892,0.26077,-0.289957,-0.729931,-0.891096,-0.711892,-0.26077,0.289957,0.729931,0.891096,0.711892;0.421432,0.130662,-0.210017,-0.470477,-0.55123,-0.421432,-0.130662,0.210017,0.470477,0.55123,0.421432;-0.0300005,-0.0493549,-0.0498574,-0.0313161,-0.000813064,0.0300005,0.0493549,0.0498574,0.0313161,0.000813064,-0.0300005;-0.469974,-0.21052,0.129346,0.419806,0.549914,0.469974,0.21052,-0.129346,-0.419806,-0.549914,-0.469974
-0.448332,-0.226782,0.0813917,0.358476,0.498635,0.448332,0.226782,-0.0813917,-0.358476,-0.498635,-0.448332;-0.742724,-0.336014,0.199041,0.65807,0.865738,0.742724,0.336014,-0.199041,-0.65807,-0.865738,-0.742724;-0.75342,-0.316901,0.240664,0.706303,0.902159,0.75342,0.316901,-0.240664,-0.706303,-0.902159,-0.75342;-0.476336,-0.176742,0.190361,0.484753,0.593985,0.476336,0.176742,-0.190361,-0.484753,-0.593985,-0.476336;-0.0173074,0.030926,0.0673467,0.0780432,0.0589299,0.0173074,-0.030926,-0.0673467,-0.0780432,-0.0589299,-0.0173074;0.448332,0.226782,-0.0813917,-0.358476,-0.498635,-0.448332,-0.226782,0.0813917,0.358476,0.498635,0.448332;0.742724,0.336014,-0.199041,-0.65807,-0.865738,-0.742724,-0.336014,0.199041,0.65807,0.865738,0.742724;0.75342,0.316901,-0.240664,-0.706303,-0.902159,-0.75342,-0.316901,0.240664,0.706303,0.902159,0.75342;0.476336,0.176742,-0.190361,-0.484753,-0.593985,-0.476336,-0.176742,0.190361,0.484753,0.593985,0.476336;0.0173074,-0.030926,-0.0673467,-0.0780432,-0.0589299,-0.0173074,0.030926,0.0673467,0.0780432,0.0589299,0.0173074;-0.448332,-0.226782,0.0813917,0.358476,0.498635,0.448332,0.226782,-0.0813917,-0.358476,-0.498635,-0.448332
-0.420498,-0.236281,0.0381876,0.29807,0.444099,0.420498,0.236281,-0.0381876,-0.29807,-0.444099,-0.420498;-0.748282,-0.37603,0.139853,0.602316,0.834715,0.748282,0.37603,-0.139853,-0.602316,-0.834715,-0.748282;-0.790247,-0.372148,0.188099,0.676498,0.906498,0.790247,0.372148,-0.188099,-0.676498,-0.906498,-0.790247;-0.530365,-0.226118,0.164498,0.492281,0.63203,0.530365,0.226118,-0.164498,-0.492281,-0.63203,-0.530365;-0.0679013,0.00628084,0.078064,0.120029,0.116148,0.0679013,-0.00628084,-0.078064,-0.120029,-0.116148,-0.0679013;0.420498,0.236281,-0.0381876,-0.29807,-0.444099,-0.420498,-0.236281,0.0381876,0.29807,0.444099,0.420498;0.748282,0.37603,-0.139853,-0.602316,-0.834715,-0.748282,-0.37603,0.139853,0.602316,0.834715,0.748282;0.790247,0.372148,-0.188099,-0.676498,-0.906498,-0.790247,-0.372148,0.188099,0.676498,0.906498,0.790247;0.530365,0.226118,-0.164498,-0.492281,-0.63203,-0.530365,-0.226118,0.164498,0.492281,0.63203,0.530365;0.0679013,-0.00628084,-0.078064,-0.120029,-0.116148,-0.0679013,0.00628084,0.078064,0.120029,0.116148,0.0679013;-0.420498,-0.236281,0.0381876,0.29807,0.444099,0.420498,0.236281,-0.0381876,-0.29807,-0.444099,-0.420498
-0.386868,-0.238923,0.000282527,0.23938,0.387042,0.386868,0.238923,-0.000282527,-0.23938,-0.387042,-0.386868;-0.747012,-0.41077,0.0823716,0.54405,0.79792,0.747012,0.41077,-0.0823716,-0.54405,-0.79792,-0.747012;-0.821823,-0.425718,0.132997,0.640912,0.90402,0.821823,0.425718,-0.132997,-0.640912,-0.90402,-0.821823;-0.582726,-0.278055,0.132823,0.492967,0.664815,0.582726,0.278055,-0.132823,-0.492967,-0.664815,-0.582726;-0.121047,-0.0241854,0.0819144,0.156726,0.171673,0.121047,0.0241854,-0.0819144,-0.156726,-0.171673,-0.121047;0.386868,0.238923,-0.000282527,-0.23938,-0.387042,-0.386868,-0.238923,0.000282527,0.23938,0.387042,0.386868;0.747012,0.41077,-0.0823716,-0.54405,-0.79792,-0.747012,-0.41077,0.0823716,0.54405,0.79792,0.747012;0.821823,0.425718,-0.132997,-0.640912,-0.90402,-0.821823,-0.425718,0.132997,0.640912,0.90402,0.821823;0.582726,0.278055,-0.132823,-0.492967,-0.664815,-0.582726,-0.278055,0.132823,0.492967,0.664815,0.582726;0.121047,0.0241854,-0.0819144,-0.156726,-0.171673,-0.121047,-0.0241854,0.0819144,0.156726,0.171673,0.121047;-0.386868,-0.238923,0.000282527,0.23938,0.387042,0.386868,0.238923,-0.000282527,-0.23938,-0.387042,-0.386868
